TID,EngTitle,EngPurpose,LocalTitle,LocalPurpose,Type,Value,Value2,Count,RemoveItem,WorldTID,MapXYZ
10356,QMT_Title_000414,QMT_Purpose_000414,指挥员凯伊多,指挥官长,1,670,0,1,0,2000,1227.73|4298.31|88.72
10354,QMT_Title_000415,QMT_Purpose_000415,在倒下的防护门古老的教堂,堕落的护卫兵,1,681,0,7,0,2000,1180.47|4301.48|87.82
10355,QMT_Title_000416,QMT_Purpose_000416,在古老教堂堕落骑士,堕落的护卫骑士,1,682,0,7,0,2000,1180.47|4301.48|87.82
10357,QMT_Title_000417,QMT_Purpose_000417,从古代承门收集的信息,通过分析所收集的订单信息,4,20202,0,1,1,2000,1180.42|4314.14|86.94
10358,QMT_Title_000418,QMT_Purpose_000418,指令书交付问题,指令书交付问题,7,20205,0,1,1,2000,1293.29|4307.01|67.92
10359,QMT_Title_000419,QMT_Purpose_000419,拆迁掠夺物资,拆迁掠夺物资,3,20196,0,13,1,2000,1245.74|4357.06|76.84
11001,QMT_Title_000420,QMT_Purpose_000420,在密封冶炼厂消灭噩梦带路人,噩梦带路人,1,1501,0,9,0,2000,1873.51|4463.65|83.49
11002,QMT_Title_000421,QMT_Purpose_000421,检查后卫的情况在冶炼厂射线密封胶,检查球探的情况,2,2021,0,1,0,2000,1938.20|4475.51|86.50
11003,QMT_Title_000422,QMT_Purpose_000422,杀噩梦屠杀者,噩梦屠杀者,1,1502,0,9,0,2000,1873.51|4463.65|83.49
11004,QMT_Title_000423,QMT_Purpose_000423,使用圣水警惕的尸体,使用圣水警惕的尸体,4,20301,0,1,1,2000,1938.20|4475.51|86.50
11005,QMT_Title_000424,QMT_Purpose_000424,从冶炼厂雷胶耗材回收,耗材回收,3,20302,0,7,1,2000,1909.53|4450.01|86.39
11006,QMT_Title_000425,QMT_Purpose_000425,在冶炼厂使用的军用弹线密封胶,军用炸弹使用,4,20303,0,1,1,2000,1873.51|4463.65|83.49
11007,QMT_Title_000426,QMT_Purpose_000426,噩梦灵魂碎片来自梦魇的领导者和杀手,收集噩梦雕塑,3,20304,0,10,1,2000,1873.51|4463.65|83.49
11008,QMT_Title_000427,QMT_Purpose_000427,使用噩梦决定在旁边的一块空地,使用噩梦决定,4,20305,0,1,1,2000,1890.36|4380.56|99.73
11011,QMT_Title_000428,QMT_Purpose_000428,奴隶召唤梦魇净化,净化噩梦奴隶,1,350103,0,3,0,2000,1890.36|4380.56|99.73
11013,QMT_Title_000429,QMT_Purpose_000429,红衣教主杀死在雷轴密封冶炼厂,红衣教主引路人,1,1503,0,1,0,2000,1982.47|4477.40|87.03
11010,QMT_Title_000430,QMT_Purpose_000430,屠宰红色密封胶冶炼厂处理卡鲁斯,红色屠杀者,1,1504,0,1,0,2000,1930.45|4403.60|87.49
11021,QMT_Title_000431,QMT_Purpose_000431,对于噩梦掠夺者与袭击者的恶念的收集,邪恶的邪念收集,3,20306,0,10,1,2000,1655.60|4495.29|87.14
11022,QMT_Title_000432,QMT_Purpose_000432,在弥敦道的采石场用噩梦水晶,使用改良的噩梦,4,20307,0,1,1,2000,1603.17|4489.43|94.93
11028,QMT_Title_000433,QMT_Purpose_000433,内森回忆倒下的治疗修改噩梦,内森倒下的援助,1,350104,0,1,0,2000,1603.17|4489.43|94.93
11023,QMT_Title_000434,QMT_Purpose_000434,收集黄色粉末在采石场内火药箱,收集黄色粉末,3,20308,0,7,1,2000,1655.60|4495.29|87.14
11024,QMT_Title_000435,QMT_Purpose_000435,使用炸弹内森·克劳利的采石场,使用炸弹甲米,4,20390,0,1,1,2000,1597.29|4470.15|94.46
11025,QMT_Title_000436,QMT_Purpose_000436,在噩梦治疗弥敦道猎物捕食者,净化噩梦掠夺者,1,1511,0,9,0,2000,1655.60|4495.29|87.14
11029,QMT_Title_000437,QMT_Purpose_000437,攻略治疗的噩梦在弥敦道的采石场,净化噩梦袭击者,1,1512,0,9,0,2000,1655.60|4495.29|87.14
11026,QMT_Title_000438,QMT_Purpose_000438,采矿核集合中的内森魔像的采石场,采矿石魔核收集,3,20310,0,7,1,2000,1655.60|4495.29|87.14
11027,QMT_Title_000439,QMT_Purpose_000439,勒克瑙第二施华洛世奇对话球探营,勒克瑙苏对话,2,2032,0,1,0,2000,1827.85|4164.69|117.29
11031,QMT_Title_000440,QMT_Purpose_000440,彷徨的岩魔核收集,彷徨岩魔核的收集,3,20311,0,7,1,2000,1655.21|4329.65|100.68
11032,QMT_Title_000441,QMT_Purpose_000441,召唤石魔用在旁边巡逻营地的一块空地,召唤石魔使用,4,20312,0,1,1,2000,1759.74|4183.98|117.06
11037,QMT_Title_000442,QMT_Purpose_000442,召唤魔像石魔岩堂召见使用,魔像摇滚援助,1,350106,0,1,0,2000,1759.74|4183.98|117.06
11033,QMT_Title_000443,QMT_Purpose_000443,收购核去杀彷徨的格拉伊德,收集格拉伊德之核,3,20313,0,1,1,2000,1578.53|4281.11|111.83
11034,QMT_Title_000444,QMT_Purpose_000444,利用改进的球探阵营的空地前面召唤石魔,召唤石魔采用改进,4,20314,0,1,1,2000,1759.74|4183.98|117.06
11035,QMT_Title_000445,QMT_Purpose_000445,天涯石傀儡援助,彷徨的岩魔,1,1521,0,9,0,2000,1643.78|4183.80|110.36
11038,QMT_Title_000446,QMT_Purpose_000446,流浪红岩傀儡援助,彷徨的红岩魔,1,1522,0,9,0,2000,1643.78|4183.80|110.36
11036,QMT_Title_000447,QMT_Purpose_000447,补给品在红色岩石的供应货车,红色岩石军团补给品回收,3,20315,0,8,1,2000,1621.37|4227.23|108.58
11041,QMT_Title_000448,QMT_Purpose_000448,收集古代砖,古代石板收集,3,20317,0,8,1,2000,1615.34|4111.01|104.53
11042,QMT_Title_000449,QMT_Purpose_000449,古代水晶区的摧毁,摧毁古老的水晶球,1,1533,0,1,0,2000,1568.51|4193.14|116.99
11043,QMT_Title_000450,QMT_Purpose_000450,收集红蝎子盗贼团采矿员古雷姆的核,采矿员古雷姆之核的收集,3,20318,0,10,1,2000,1638.14|4172.03|111.09
11044,QMT_Title_000451,QMT_Purpose_000451,召唤使用的阵营石魔在一块空地前,召唤使用卢安的石魔,4,20319,0,1,1,2000,1863.33|4144.43|116.98
11051,QMT_Title_000452,QMT_Purpose_000452,干掉卢安克工人沙蚁,卢安克工人沙蚁,1,1541,0,7,0,2000,1885.43|4165.07|115.33
11062,QMT_Title_000453,QMT_Purpose_000453,干掉卢安克工人沙蚁,红色卢安克工人沙蚁,1,1542,0,10,0,2000,1885.43|4165.07|115.33
11052,QMT_Title_000454,QMT_Purpose_000454,收集卢阿科体液,收集卢阿科体液,3,20320,0,15,1,2000,1885.43|4165.07|115.33
11053,QMT_Title_000455,QMT_Purpose_000455,从沙蚁巢毒液收集,剧毒草的采样,3,20321,0,8,1,2000,1900.49|4206.67|114.69
11054,QMT_Title_000456,QMT_Purpose_000456,香利用安德森在营门口,使用香炉安德森,4,20322,0,1,1,2000,1830.33|4159.45|117.11
11055,QMT_Title_000457,QMT_Purpose_000457,侦察员特滨海，基弧停止对话,泰梅勒的对话,2,2041,0,1,0,2000,1943.19|4254.02|105.02
11056,QMT_Title_000458,QMT_Purpose_000458,状态报告传递给俄罗斯队奥格斯堡,交付给奥格斯堡俄罗斯报告,7,20323,0,1,1,2000,1827.85|4164.69|117.29
11057,QMT_Title_000459,QMT_Purpose_000459,在红色的鸟巢草药基弧,红色草药,3,20324,0,8,1,2000,1891.32|4215.45|112.64
11058,QMT_Title_000460,QMT_Purpose_000460,沙蚁孵化场蛋的处理,摧毁卢安克之眼,1,1544,0,12,0,2000,1962.14|4297.38|102.44
11059,QMT_Title_000461,QMT_Purpose_000461,女王的香囊采集,阿涅斯香囊回收,3,20325,0,1,1,2000,1972.73|4290.94|102.94
11063,QMT_Title_000462,QMT_Purpose_000462,卢安克女王阿奈斯在孵化场,杀死女王,1,1543,0,1,0,2000,1972.73|4290.94|102.94
11061,QMT_Title_000463,QMT_Purpose_000463,艾格尼丝使用香囊在一块空地精基弧巢南,艾格尼丝纯化使用小袋,4,20326,0,1,1,2000,1884.85|4116.42|122.93
11060,QMT_Title_000464,QMT_Purpose_000464,克里特基督城与傀儡,克里特岛基督城,1,350111,0,1,0,2000,1884.85|4116.42|122.93
11071,QMT_Title_000465,QMT_Purpose_000465,基督城红蝎子强盗劫匪藏身之处,红蝎子盗贼团窃贼,1,1552,0,7,0,2000,1891.16|4000.25|140.86
11083,QMT_Title_000466,QMT_Purpose_000466,在红蝎子强盗劫匪藏身之处歼灭,红蝎子盗贼团强盗,1,1553,0,10,0,2000,1891.16|4000.25|140.86
11072,QMT_Title_000467,QMT_Purpose_000467,从强盗劫匪藏身处获得的文件,文件获得,3,20331,0,1,1,2000,1967.70|4009.37|152.60
11073,QMT_Title_000468,QMT_Purpose_000468,获取战灵卡尔利格的秘密文件,获取机密文件,3,20332,0,1,1,2000,1971.59|3957.14|152.88
11074,QMT_Title_000469,QMT_Purpose_000469,干掉红蝎子盗贼团暗杀者,杀死暗杀者,1,1558,0,5,0,2000,1918.86|3912.81|152.70
11075,QMT_Title_000470,QMT_Purpose_000470,二当家本尼迪克特劫匪在教堂,二当家本尼迪克特,1,1555,0,1,0,2000,1969.23|3868.56|149.37
11076,QMT_Title_000471,QMT_Purpose_000471,收集红蝎子盗贼团警卫古雷姆的核,收集古雷姆之核,3,20333,0,10,1,2000,1932.20|3943.56|152.47
11077,QMT_Title_000472,QMT_Purpose_000472,在劫匪藏身处破坏古代的水晶区,古代水晶破坏,1,1557,0,10,0,2000,1972.20|3987.83|152.84
11078,QMT_Title_000473,QMT_Purpose_000473,使用炸弹在傀儡店,使用炸弹,4,20334,0,1,1,2000,1942.86|3857.14|148.07
11079,QMT_Title_000474,QMT_Purpose_000474,指挥石魔克拉德藏身之处去援助进行,指挥石魔援助,1,1556,0,1,0,2000,1952.73|3839.09|146.66
11080,QMT_Title_000475,QMT_Purpose_000475,从强盗劫匪藏身之处收集供给品箱,土匪的供给品收集,3,20335,0,7,1,2000,1958.46|3981.60|152.41
11082,QMT_Title_000476,QMT_Purpose_000476,劫匪铁匠杀害后拾取武器图画作品集,武器图纸收集,3,20337,0,1,1,2000,1965.50|3904.28|152.88
11091,QMT_Title_000477,QMT_Purpose_000477,埃克颈部哨兵在克里特岛,艾克奈克前哨战,1,1561,0,12,0,2000,1570.34|4037.23|133.78
11111,QMT_Title_000478,QMT_Purpose_000478,埃克颈部哨兵警卫队打死在克里特岛,艾克奈克前哨战警卫,1,1562,0,7,0,2000,1570.34|4037.23|133.78
11092,QMT_Title_000479,QMT_Purpose_000479,从沙巢杀死工蚁,内勒克工人沙蚁,1,1571,0,12,0,2000,1526.93|4031.20|133.07
11112,QMT_Title_000480,QMT_Purpose_000480,在沙巢杀死兵蚁,内勒克蚁兵沙蚁,1,1572,0,7,0,2000,1526.93|4031.20|133.07
11093,QMT_Title_000481,QMT_Purpose_000481,净化埃克脖子后收集哨兵体液,艾尔艾克体液,3,20345,0,15,1,2000,1570.34|4037.23|133.78
11113,QMT_Title_000482,QMT_Purpose_000482,处理后的体液采集杀工人蚂蚁,埃尔克体液,3,20346,0,5,1,2000,1526.93|4031.20|133.07
11094,QMT_Title_000483,QMT_Purpose_000483,使用纯净的脖子勒流体在克里特岛的孵化小山,使用纯净的脖子勒液,4,20348,0,1,1,2000,1772.01|4068.51|136.80
11114,QMT_Title_000484,QMT_Purpose_000484,使用纯净的脖子和体液勒召领导人呼吁贝内克赖斯特彻奇,沙蚁女王被内伊拉,1,350117,0,1,0,2000,1772.01|4068.51|136.80
11095,QMT_Title_000485,QMT_Purpose_000485,使用艾尔艾克体液在巢,使用纯净的艾尔艾克体液,4,20347,0,1,1,2000,1406.27|3936.37|129.87
11115,QMT_Title_000486,QMT_Purpose_000486,萨尔瓦多卡纳克体液后，召唤女王卡里援助,女王卡里卡纳克援助,1,350118,0,1,0,2000,1406.27|3936.37|129.87
11096,QMT_Title_000487,QMT_Purpose_000487,在克里特岛的小山胡蜂般的贝拉克,警卫贝拉克,1,1563,0,1,0,2000,1707.34|3988.40|142.58
11097,QMT_Title_000488,QMT_Purpose_000488,内勒克将军卡伊内德在巢,将军卡伊内德,1,1573,0,1,0,2000,1500.39|3911.94|133.56
11098,QMT_Title_000489,QMT_Purpose_000489,收集在克里特岛的小山小枝,小枝收集,3,20349,0,8,1,2000,1667.63|4001.27|137.94
11099,QMT_Title_000490,QMT_Purpose_000490,使用屏障安装工具的外镇,使用屏障安装工具,4,20350,0,1,1,2000,1547.99|4008.30|136.77
11101,QMT_Title_000491,QMT_Purpose_000491,临时伯努瓦堡垒苏对话红岩兵团班长,伯努瓦队苏对话,2,2061,0,1,0,2000,1068.30|3912.61|133.56
11102,QMT_Title_000492,QMT_Purpose_000492,水晶球摧毁了古老的要塞劫匪,摧毁古老的水晶球,1,1586,0,8,0,2000,1186.18|3988.36|130.37
11103,QMT_Title_000493,QMT_Purpose_000493,强盗劫匪的信号弹收集从红蝎侦察兵,红蝎子侦察兵收集信号弹,3,20354,0,10,1,2000,1180.70|3907.12|131.16
11104,QMT_Title_000494,QMT_Purpose_000494,在一块空地前援助净化红蝎子强盗劫匪突袭者,红蝎子盗贼突袭者援助,1,1583,0,12,0,2000,1180.70|3907.12|131.16
11105,QMT_Title_000495,QMT_Purpose_000495,从土匪山寨收集黑火药,黑色粉末收集,3,20355,0,10,1,2000,1191.64|4039.63|137.29
11107,QMT_Title_000496,QMT_Purpose_000496,从强盗劫匪堡的秘密文件,劫匪机密文件,3,20358,0,1,1,2000,1238.43|4041.30|137.15
11108,QMT_Title_000497,QMT_Purpose_000497,在劫匪要塞的物资仓库更好地使用炸弹枪发射器,一弹枪基础改进使用,4,20359,0,1,1,2000,1126.84|3994.21|136.80
11110,QMT_Title_000498,QMT_Purpose_000498,召唤卷轴召唤与gangseupbyeong,使用召唤令,4,20360,0,1,1,2000,1269.82|4040.32|141.72
11118,QMT_Title_000499,QMT_Purpose_000499,以弗所是误导老板劫匪援助,老板海湾误导援助,1,1585,0,1,0,2000,1269.82|4040.32|141.72
11120,QMT_Title_000500,QMT_Purpose_000500,在早期的煤矿布鲁尔腌料援助,教堂啤酒腌料,1,1592,0,9,0,2000,1205.75|3757.28|132.88
11121,QMT_Title_000501,QMT_Purpose_000501,腌制黑色鳞片布鲁尔有助于早期矿,腌制黑鳞布鲁尔援助,1,1593,0,9,0,2000,1205.75|3757.28|132.88
11122,QMT_Title_000502,QMT_Purpose_000502,在早期的收集者未知矿山,未知收集矿石,3,20369,0,8,1,2000,1180.80|3747.77|132.82
11123,QMT_Title_000503,QMT_Purpose_000503,早期采矿活动日志的数量,早期采矿活动日志的数量,3,20370,0,1,1,2000,1174.12|3669.34|137.45
11124,QMT_Title_000504,QMT_Purpose_000504,文物恢复初期开采,文物恢复初期开采,3,20371,0,1,1,2000,1256.21|3762.58|135.68
11125,QMT_Title_000505,QMT_Purpose_000505,的收集成本在早期矿井傀儡细胞核，拥塞,失控的傀儡核费,3,20361,0,10,1,2000,1205.75|3757.28|132.88
11126,QMT_Title_000506,QMT_Purpose_000506,召唤雷内斯的石魔更好地利用,使用召唤雷内斯石魔,4,20363,0,1,1,2000,1101.27|3858.67|132.85
11133,QMT_Title_000507,QMT_Purpose_000507,拥塞使用召唤石魔召唤后，改善照明信条所有援助傀儡,创意杀敌所有采矿失控的傀儡,1,350128,0,1,0,2000,1101.27|3858.67|132.85
11127,QMT_Title_000508,QMT_Purpose_000508,协助指挥获取核魔像在早期的矿,此次收购的核援助,3,20402,0,1,1,2000,1198.61|3651.57|137.94
11128,QMT_Title_000509,QMT_Purpose_000509,使用召唤雷内斯石魔,使用召唤雷内斯石魔,4,20364,0,1,1,2000,1101.09|3858.42|132.84
11129,QMT_Title_000510,QMT_Purpose_000510,傀儡的价值进行与用户通话,这里值得对话,2,2071,0,1,0,2000,1233.95|3686.26|139.15
11130,QMT_Title_000511,QMT_Purpose_000511,收购傀儡维修工具,收购傀儡维修工具,3,20365,0,8,1,2000,1208.59|3649.48|138.06
11131,QMT_Title_000512,QMT_Purpose_000512,配件收购魔像,配件收购魔像,3,20366,0,12,1,2000,1204.54|3793.07|130.67
11132,QMT_Title_000513,QMT_Purpose_000513,用来召唤古老的座位,用来召唤古老的座位,4,20367,0,1,1,2000,1208.37|3688.30|138.17
11135,QMT_Title_000514,QMT_Purpose_000514,利用运动的古承,利用运动的古承,4,20225,0,1,1,2000,0
11141,QMT_Title_000515,QMT_Purpose_000515,在高斯理论的荒地侦察员清莱交易搜索,侦察员莳萝荔搜索,2,2081,0,1,0,2000,1300.55|3836.08|131.57
11142,QMT_Title_000516,QMT_Purpose_000516,侦察兵的编号牌收回在高斯理论的荒地,侦察兵的编号牌收集,3,20372,0,10,1,2000,1354.78|3901.50|134.55
11143,QMT_Title_000517,QMT_Purpose_000517,远征报告递送至大肠rotoseu,报告传递到rotoseu,7,20373,0,1,1,2000,1549.15|3714.07|136.53
11144,QMT_Title_000518,QMT_Purpose_000518,消灭红色内克洛斯,红色内克洛斯,1,1601,0,10,0,2000,1545.34|3733.97|134.43
11159,QMT_Title_000519,QMT_Purpose_000519,消灭内克洛斯,内克洛斯,1,1602,0,10,0,2000,1545.34|3733.97|134.43
11145,QMT_Title_000520,QMT_Purpose_000520,光在拉普兰jeuwa交谈牧师,拉菲jeuwa谈话,2,2083,0,1,0,2000,1560.35|3713.33|136.19
11146,QMT_Title_000521,QMT_Purpose_000521,爆炸物废弃煤矿中回收火药箱,炸药回收废弃的盒子,3,20376,0,10,1,2000,1297.27|3678.78|138.09
11147,QMT_Title_000522,QMT_Purpose_000522,在旁边的营地一块空地使用声波炸弹,使用声波炸弹,4,20377,0,1,1,2000,1526.86|3694.17|136.62
11160,QMT_Title_000523,QMT_Purpose_000523,召唤幼仔内克洛斯援助,幼童内克洛斯援助,1,350132,0,3,0,2000,1526.86|3694.17|136.62
11148,QMT_Title_000524,QMT_Purpose_000524,干掉大王贝雷茵,干掉大王,1,1604,0,1,0,2000,1566.26|3777.04|139.55
11166,QMT_Title_000525,QMT_Purpose_000525,香囊收集在大王贝雷茵身上,大王的香囊,3,20378,0,1,1,2000,1566.26|3777.04|139.55
11149,QMT_Title_000526,QMT_Purpose_000526,使用周围巴林纯化远征小袋,巴林纯化使用小袋,4,20379,0,1,1,2000,1572.10|3705.24|136.19
11150,QMT_Title_000527,QMT_Purpose_000527,从硫磺山雾收集红色岩石,红岩采样,3,20397,0,8,1,2000,1697.25|3720.59|140.90
11151,QMT_Title_000528,QMT_Purpose_000528,召唤使用急流各地的探险石魔,召唤石魔急流,4,20380,0,1,1,2000,1572.10|3705.24|136.19
11152,QMT_Title_000529,QMT_Purpose_000529,收集红色内克洛斯的鳞片,内克洛斯的鳞片收集,3,20381,0,10,1,2000,1545.34|3733.97|134.43
11153,QMT_Title_000530,QMT_Purpose_000530,掉队者劫匪在废弃煤矿基督城,歼灭盗贼团掉队者,1,1603,0,12,0,2000,1368.37|3677.08|135.15
11154,QMT_Title_000531,QMT_Purpose_000531,孵化场破坏纳克洛斯之眼,破坏纳克洛斯的蛋,1,1606,0,15,0,2000,1718.46|3611.29|135.89
11155,QMT_Title_000532,QMT_Purpose_000532,援助干掉女王阿库叶尔,女王水族萨尔瓦多援助,1,1605,0,1,0,2000,1822.22|3641.07|138.89
11156,QMT_Title_000533,QMT_Purpose_000533,订购硫魔雾在该地区用于侦察,阶幻用于侦察,4,20398,0,1,1,2000,1676.00|3729.23|137.42
11157,QMT_Title_000534,QMT_Purpose_000534,从硫雾山雾口袋里获得硫,获得硫雾口袋,3,20383,0,8,1,2000,1725.76|3712.44|141.52
11158,QMT_Title_000535,QMT_Purpose_000535,硫磺石魔处理后的硫磺粉收集,硫磺粉收集,3,20384,0,12,1,2000,1676.00|3729.23|137.42
11161,QMT_Title_000536,QMT_Purpose_000536,补给品从村的供给品箱子回收,供给品收集,3,20385,0,10,1,2000,1611.45|3450.38|154.39
11162,QMT_Title_000537,QMT_Purpose_000537,在哈利伊德下手与追随者的树林集合处袭击收集,收集哈利伊德的邪念,3,20386,0,12,1,2000,1682.66|3549.07|141.44
11163,QMT_Title_000538,QMT_Purpose_000538,诺亚用红色水晶固定在一块空地，在城市里的尸体堆积,使用红水晶,4,20387,0,1,1,2000,1585.44|3403.96|150.95
11165,QMT_Title_000539,QMT_Purpose_000539,净化地狱里德援助召集追随者,净化地狱里德援助召集追随者,1,350135,0,3,0,2000,1585.44|3403.96|150.95
11164,QMT_Title_000540,QMT_Purpose_000540,光交谈多利安牧师。,光交谈多利安牧师。,2,2101,0,1,0,2000,1724.63|3569.23|138.87
11171,QMT_Title_000541,QMT_Purpose_000541,哈利伊德袭击者,哈利伊德袭击者,1,1621,0,12,0,2000,1954.40|3339.95|143.42
11173,QMT_Title_000542,QMT_Purpose_000542,巨石滴水嘴兽,巨石滴水嘴兽,1,1622,0,10,0,2000,1954.40|3339.95|143.42
11172,QMT_Title_000543,QMT_Purpose_000543,回收要塞守兵的编号牌,回收守卫编号牌,3,20399,0,10,1,2000,1934.59|3382.14|144.78
11181,QMT_Title_000544,QMT_Purpose_000544,在山上的灰色面貌古怪的石头怪兽援助,净化灰色石像鬼,1,1631,0,14,0,2000,1979.96|3424.43|135.85
11186,QMT_Title_000545,QMT_Purpose_000545,红色石像鬼在岩石山丘基督城,净化红岩石像鬼,1,1632,0,10,0,2000,1979.96|3424.43|135.85
11182,QMT_Title_000546,QMT_Purpose_000546,在山上插旗红色岩石怪兽军团标志,插上红岩军团标志,4,20391,0,1,1,2000,1869.24|3595.60|147.67
11183,QMT_Title_000547,QMT_Purpose_000547,干掉石像鬼屠杀者贝勒蒂内弗,屠宰贝勒蒂内弗,1,1633,0,1,0,2000,2003.62|3569.97|143.94
11187,QMT_Title_000548,QMT_Purpose_000548,干掉守护者贝尔加内弗,守护者贝尔加内弗,1,1634,0,1,0,2000,1962.49|3698.93|143.20
11185,QMT_Title_000549,QMT_Purpose_000549,报告转发给指挥官光明,明亮的报告交付,7,20393,0,1,1,2000,1859.36|3418.34|154.30
11191,QMT_Title_000550,QMT_Purpose_000550,用于侦察花园入口处的哨兵阶幻,阶幻用于侦察,4,20382,0,1,1,2000,1842.01|3215.28|158.00
11192,QMT_Title_000551,QMT_Purpose_000551,罗科教堂花园入口哨兵洛克斯姗提奈尔,罗科教堂哨兵,1,1641,0,12,0,2000,1842.01|3215.28|158.00
11193,QMT_Title_000552,QMT_Purpose_000552,使用强袭兵召唤卷轴从花园入口处,使用强袭兵召唤卷轴,4,20394,0,1,1,2000,1850.63|3118.71|156.39
11197,QMT_Title_000553,QMT_Purpose_000553,使用强袭兵召唤卷轴对哨兵指挥官的处理,哨兵指挥官的处理,1,1642,0,1,0,2000,1850.63|3118.71|156.39
11194,QMT_Title_000554,QMT_Purpose_000554,从哨兵的花园收集魔法石,收集魔法矿石,3,20400,0,10,1,2000,1842.01|3215.28|158.00
11195,QMT_Title_000555,QMT_Purpose_000555,Subibyeong使用傀儡召见叙利亚的座位在一个小地方,召唤石魔用于叙利亚,4,20395,0,1,1,2000,1837.94|3337.88|153.14
11196,QMT_Title_000556,QMT_Purpose_000556,收集花园中的哨兵姗提奈尔魔力石,收集哨兵的魔法宝石,3,20401,0,12,1,2000,1842.01|3215.28|158.00
11198,QMT_Title_000557,QMT_Purpose_000557,拉菲和对话与火焰印章,拉菲草和对话,2,2133,0,1,0,2000,1663.80|3273.71|132.07
12001,QMT_Title_000558,QMT_Purpose_000558,抓住雷伊谬特收集他的角,收集烈伊缪特角,3,20600,0,14,1,2000,2401.60|4409.69|160.73
12003,QMT_Title_000559,QMT_Purpose_000559,收集雷伊诺弗的牙齿,雷伊诺弗齿收藏,3,20601,0,10,1,2000,2401.60|4409.69|160.73
12002,QMT_Title_000560,QMT_Purpose_000560,此次回收贝勒内斯的头,贝勒内斯的脑袋,3,20602,0,1,1,2000,2384.78|4569.06|163.54
12004,QMT_Title_000561,QMT_Purpose_000561,草地伯尔尼村北的贝勒内斯,援助干掉贝勒内斯,1,2503,0,1,0,2000,2384.78|4569.06|163.54
12011,QMT_Title_000562,QMT_Purpose_000562,在东北镇的山上贝勒诺德援助,贝勒诺德援助,1,2504,0,1,0,2000,2480.08|4420.67|179.74
12021,QMT_Title_000563,QMT_Purpose_000563,收集特莱茵眼泪在村北草原,收集特莱茵眼泪,3,20603,0,10,1,2000,2377.60|4451.14|165.30
12022,QMT_Title_000564,QMT_Purpose_000564,香利用恐惧在村门口,香利用恐惧,4,20604,0,1,1,2000,2420.84|4383.46|158.00
12031,QMT_Title_000565,QMT_Purpose_000565,援助皮革收集从雷伊谬特,雷伊谬特皮革收集,3,20605,0,14,1,2000,2401.60|4409.69|160.73
12032,QMT_Title_000566,QMT_Purpose_000566,资助收购肉类和雷伊喷特,雷伊喷特的肉集合,3,20606,0,14,1,2000,2211.06|4420.30|138.95
12041,QMT_Title_000567,QMT_Purpose_000567,在北方草地村雷伊谬特援助,雷伊谬特援助,1,2501,0,10,0,2000,2401.60|4409.69|160.73
12044,QMT_Title_000568,QMT_Purpose_000568,雷伊诺弗援助草甸北部城镇,雷伊诺弗援助,1,2502,0,12,0,2000,2401.60|4409.69|160.73
12042,QMT_Title_000569,QMT_Purpose_000569,在镇西北草地雷伊喷特援助,雷伊喷特援助,1,2506,0,15,0,2000,2211.06|4420.30|138.95
12043,QMT_Title_000570,QMT_Purpose_000570,杀死夜警在草甸村西北,夜警的援助,1,2507,0,1,0,2000,2106.19|4553.56|155.52
12051,QMT_Title_000571,QMT_Purpose_000571,援助向西北从村草甸的雷伊喷特的象牙收藏,雷伊喷特的象牙收藏,3,20607,0,15,1,2000,2211.06|4420.30|138.95
12061,QMT_Title_000572,QMT_Purpose_000572,从枯死之树在乡村草地收集,收集枯树枝,3,20608,0,12,1,2000,2238.01|4443.07|144.07
12062,QMT_Title_000573,QMT_Purpose_000573,用在村里的草地北污染的木材,使用净化石,4,20609,0,1,1,2000,2226.44|4462.99|147.01
12071,QMT_Title_000574,QMT_Purpose_000574,使用烟火在被遗忘的村庄的耀斑在入口的南到村,使用信号弹在被遗忘的小镇,4,20611,0,1,1,2000,2364.84|4279.43|138.41
12072,QMT_Title_000575,QMT_Purpose_000575,供应来自一个破碎的货车存在于镇南部恢复,耗材回收,3,20612,0,2,1,2000,2370.27|4257.94|139.56
12081,QMT_Title_000576,QMT_Purpose_000576,在花王村南门攻击卡伦一族突击兵,卡伦一族突击兵,1,2508,0,15,0,2000,2419.08|4269.61|143.38
12083,QMT_Title_000577,QMT_Purpose_000577,突击队长罗伊蒂援助在城东南一块空地,罗伊蒂援助,1,2509,0,1,0,2000,2437.62|4293.61|149.24
12082,QMT_Title_000578,QMT_Purpose_000578,收集在一块空地，在城东南等赃物,战利品回收,3,20613,0,8,1,2000,2426.31|4277.34|145.51
12091,QMT_Title_000579,QMT_Purpose_000579,在村西南方暗黑部队侦察兵的援助,侦察兵的援助,1,2518,0,15,0,2000,2332.73|4289.67|138.73
12092,QMT_Title_000580,QMT_Purpose_000580,搜索一个空地在镇南部多明尼加童子军,多米尼克和对话,2,3006,0,1,0,2000,2403.36|4163.81|126.50
12101,QMT_Title_000581,QMT_Purpose_000581,交付给市长巴里·莫尔斯文件,巴里·莫尔斯将文档交付,7,20614,0,1,1,2000,2400.63|4351.74|155.03
12111,QMT_Title_000582,QMT_Purpose_000582,在镇南部军营扎伊德援助顾问,扎伊德援助,1,2515,0,1,0,2000,2480.67|4243.50|137.53
12112,QMT_Title_000583,QMT_Purpose_000583,卡伦一族的文件箱中调查扎耶德军营另一个氏族,采集文件,3,20616,0,1,1,2000,2475.05|4249.35|137.66
