TID,Type,EngTitle,EngMainScript,EngProgressScript,EngFinishScript,EngMiniBarFinish,LocalTitle,LocalMainScript,LocalProgressScript,LocalFinishScript,LocalMiniBarFinish,Area,Grade,Level,Repeat,RepeatDay,Share,StartType,StartValue,StartCinemaTID,FinishType,FinishValue,FinishCinemaTID,TimeOut,PrevQuest,NextQuest,DemandRace,DemandLowLv,DemandMaxLv,DemandWeapon,DemandWLv,GiveItem1,GiveItemCnt1,GiveItem2,GiveItemCnt2,EventTID,MissionTID,RewardTID,DropTID
13101,1,QUT_Title_000608,QUT_Main_000608,QUT_Progress_000608,QUT_Finish_000608,QUT_Mini_000608,愤怒的熊杀死,现在，是时候创建的主要来源材料已准备就绪。 / N / N本书不是美食家说，为了出席，则需要切除胆囊的风味和黑暗japnae。分请您听到的时间要求。很抱歉，但你又帮助吗？我们一定会实践。 / N / N攻入海湾neeo后请guhaeda的<TC'163 :: 21 21“胆囊湾neeo”/文本“>。我会吃这一切手段。,请允许安全撤离杀<TC'163 :: 21 21“文本”愤怒湾neeo“/>。,到已提交的援助更安全的感谢。谢谢。,该swerin和对话。,1105,0,41,0,0,0,1,4021,0,1,4021,0,0,0,0,1|3,41,99,0,0,0,0,0,0,0,13101,113101,0
13102,1,QUT_Title_000609,QUT_Main_000609,QUT_Progress_000609,QUT_Finish_000609,QUT_Mini_000609,的治疗剂的缺乏,他提出的要求麻袋。但仓促地做敌人，使其可用。请把它。 / N / N <TC'163：21：21“文本”交易消息发布者swerin“/>到<TC'163：21：21”文本“湾neeo皮革袋子”/>请携带。,<TC'163：21：21“文本”谷风贸易站“/> <TC'163：21：21”文本“蓝波ipcho”/>近，请收藏。,伤者的病情已经好转的感谢。谢谢。 / N / N你知道，曾经发生在这里？,跟我谈话，杰里。,1105,0,41,0,0,0,1,4022,0,1,4022,0,0,0,521,1|3,41,99,0,0,0,0,0,0,0,13103,113102,0
13103,1,QUT_Title_000610,QUT_Main_000610,QUT_Progress_000610,QUT_Finish_000610,QUT_Mini_000610,美味佳肴熊掌,但现在你可以恢复所有附近的粮食，人们需要时间来把握粮食，因为有些jinatgi的状态。 / N / N你能在运输阶段带来小麦的麻袋？不用单独可以来有大量的，随便拿只能够确定质量。 / N / N <TC'163：21：21“文本”的风交易后谷“/>近<TC'163：21：21'文本'麻袋装满小麦”/>请携带。,<TC'163：21：21“文本”的风交易后谷“/>进球后不久neeo海湾<TC'163：21：21”文本“爪子湾neeo的”/>请把你的。,现在，如果只有源准备，完善。,在谈话中D.不少。,1105,0,41,0,0,0,1,4023,0,1,4023,0,0,0,0,1|3,41,99,0,0,0,0,0,0,0,13104,113103,13104|13105
13104,1,QUT_Title_000611,QUT_Main_000611,QUT_Progress_000611,QUT_Finish_000611,QUT_Mini_000611,我没有被解雇,这其实是主人请我的父亲。交通只要回去一看，发现这jusidaga帮助的人，当他被攻击......现在我负责的官员./n / n转义殴打这名男子的父亲说的最后伸向巨大的红海湾4 eoga父亲如果不回来......直到现在......回去getjiyo ... / N / N天父的旨意butakhaedo报复吗？四巨头红海湾附近的冰点<TC'163：21：21“文本”红熊红neeo“/>不但。请支付父亲的敌人得分neeo海湾。,<TC'163：21：21“文本”商人迪地块“/>请询问你是否有剩余萨克说。,哟剩余袋？我们已经走的是一条麻袋一麻袋。,在谈话中D.不少。,1105,0,41,0,0,0,1,4021,0,1,4023,0,0,13101,0,1|3,41,99,0,0,0,0,0,0,0,13105,113104,0
13105,1,QUT_Title_000612,QUT_Main_000612,QUT_Progress_000612,QUT_Finish_000612,QUT_Mini_000612,皮包,当大多数谷物的状态看可用。这是一个大问题。 / N / N，但人们担心的山脉里面，合适的人在工厂将无法抵挡的食物。我会钻磨的食物你能告诉？ / N / N <TC'163：21：21“文本”谷风钢厂“/>在<TC'163：21：21”文本“汉克风车业主/>请携带一个袋子包。,进球后不久neeo海湾请携带<“皮革湾neeo'/ TC>。,您将能够创建适可而止麻袋。请稍候。,在谈话中D.不少。,1105,0,41,0,0,0,1,4023,0,1,4023,0,0,13104,0,1|3,41,99,0,0,0,0,0,0,0,13106,113105,0
13106,1,QUT_Title_000613,QUT_Main_000613,QUT_Progress_000613,QUT_Finish_000613,QUT_Mini_000613,Deohaera味,我简直不敢相信。确认电源是空虚的力量在三个马力。 / N / N如果虚荣的力量参与什么是发生在山区??，家具空虚的存在，可以做所有的工作。请调查这件事情还我将这个消息告诉了钢铁的气息。他深知空虚的力量是不是牧师NEMI。牧师的磨房去第一起始端的交通。 / N / N门卫负责，有<TC'163：21：21“文本”人员开支啊早“/>请询问NEMI的去向都不到。,治疗后湾neeo请guhaeda的<TC'163 :: 21 21“胆囊湾neeo”/文本“>。,它能够完成烹饪，谢谢。谢谢。,在谈话中D.不少。,1105,0,41,0,0,0,1,4023,0,1,4023,0,0,13104,0,1|3,41,99,0,0,0,0,0,0,0,13107,113106,13107|13108
13107,1,QUT_Title_000614,QUT_Main_000614,QUT_Progress_000614,QUT_Finish_000614,QUT_Mini_000614,成品袋,海湾的袭击，这??要感谢帮助neeo谁已经减少。 / N / N，但受伤的人治疗前的风险应该被删除尽可能。可湾的援助neeo更多butakhaedo？ / N / N <TC'163：21：21“文本”谷风贸易站“/>请杀死附近的<TC'163 :: 21 21”文本“血爪湾neeo”/>一个。,<TC'163：21：21“文本”交易消息发布者swerin“/>到<TC'163：21：21”文本“湾neeo皮革袋子”/>请携带。,基希贝格有一个麻袋！,该swerin和对话。,1105,0,41,0,0,0,1,4023,0,1,4021,0,0,13105,0,1|3,41,99,0,0,20922,1,0,0,0,13108,113107,0
13108,1,QUT_Title_000615,QUT_Main_000615,QUT_Progress_000615,QUT_Finish_000615,QUT_Mini_000615,没完成的工作,谢谢你带的食物。我可以把一口气。 / N / N，但不缺乏食物在这里。这是最后一节车厢去与晶粒细化不可能被损坏湾neeo风车的袭击。去他的工作室技工维修，不接触yigoyo情况。 / N / N这就需要一个风车修理工修理。 <TC'163：21：21'文本'修理工博尔顿“/>请确认的下落。他去他的工作室在树林中。,<TC'163：21：21“文本”的风交易后谷“/>近<TC'163：21：21'文本'麻袋装满小麦”/>请携带。,这是一个大问题，这个有用的小麦anneyo转眼就走了。,该swerin和对话。,1105,0,41,0,0,0,1,4021,0,1,4021,0,0,13107,13109,1|3,41,99,0,0,0,0,0,0,0,13109,113108,0
13109,1,QUT_Title_000616,QUT_Main_000616,QUT_Progress_000616,QUT_Finish_000616,QUT_Mini_000616,父亲的敌人,这... NEMI未评级离职是已经在这里。 Gasinda与商人和阵营的指责，看看里面去进山，你可以找到。 / N / N但在此之前帮助解决这里的问题？死亡是由于这个地方的攻击是非常静音，在接近临界状态。如果给予帮助将一直保留到导入钢铁呼吸支持。 / N / N接近<TC'163：21：21'文本'小死亡静音“/>和<TC'163：21：21”文本“山中的死亡静音”/>请杀死。,<TC'163：21：21“文本”红熊红neeo“/>请杀死。,谢谢你报答你父亲的敌人。,该swerin和对话。,1105,0,41,0,0,0,1,4021,0,1,4021,0,0,13107,0,1|3,41,99,0,0,0,0,0,0,0,13110,113109|400361|400362|400363|400364|400441,0
13110,1,QUT_Title_000617,QUT_Main_000617,QUT_Progress_000617,QUT_Finish_000617,QUT_Mini_000617,交货用品,来这里寻找的工具，他们无法找到静音死神来创建一个烂摊子的工作场所。 / N / N显然是附近的工作室，这是一个严峻的形势变得暴力致死的静音。你能帮助我吗？ / N / N在附近，请找到<博尔顿'/文本TC'163 :: 21 21''工具>。要修复风车至关重要。,<TC'163：21：21“文本”谷风钢厂“/>在<TC'163：21：21”文本“汉克风车业主/>请携带一个袋子包。,基希贝格同食。谢谢你这么多。,谈话汉克。,1105,0,42,0,0,0,1,4021,0,1,4031,0,0,13109,0,1|3,42,99,0,0,20925,1,0,0,0,13111,113110,0
13111,1,QUT_Title_000618,QUT_Main_000618,QUT_Progress_000618,QUT_Finish_000618,QUT_Mini_000618,因此，传输阶段,Tools've发现，你就可以修复。我直接去，但是它没有得到一个地方去三代后裔的工作场所。 / N / N你能带来修复工具在轧机的我呢？如果维修工具，汉克也就能修复。 / N / N <TC'163：21：21“文本”谷风钢厂“/>在<TC'163：21：21”文本“修复工具”/>请大家。,<TC'163：21：21“文本”人员开支啊早“/> MIA问你的牧师的下落./n我会把这个消息对钢铁呼吸，伤员的治疗结束。,我把NEMI没有找到？,哦，在谈话中早期。,1105,0,42,0,0,0,1,4022,0,1,4032,0,0,522,0,1|3,42,99,0,0,0,0,0,0,0,13112,113111,0
13113,1,QUT_Title_000619,QUT_Main_000619,QUT_Progress_000619,QUT_Finish_000619,QUT_Mini_000619,避免爪湾neeo,查找腹泻的时尚味道“食品流浪者”诺伯特商。 / N / N我来到这里的死亡静音烤美味的书读参加哦。 Sigetjiman似乎疯狂来为食，食欲是最好的幸福的人住的。欺骗不能放弃。我很乐意看到刚吃你帮mothaetneunde问肉/ N / N <TC'163：21：21'文本'的风车之谷“/>？围绕<TC'163：21：21”文本“小死神静音“/>和<TC'163：21：21”文本“山中的死亡静音”/>治疗<TC后'163：21：21'文本'死亡静音肉“/>请得到。,<TC'163：21：21“文本”的风交易后谷“/>请杀死附近的<TC'163 :: 21 21”文本“血爪湾neeo”/>一个。,我想你会被提上了心脏，幸亏救治伤员。,该swerin和对话。,1105,0,41,0,0,0,1,4021,0,1,4021,0,0,13101,0,1|3,41,99,0,0,0,0,0,0,0,13102,113113,0
13151,1,QUT_Title_000620,QUT_Main_000620,QUT_Progress_000620,QUT_Finish_000620,QUT_Mini_000620,修理工的下落,博尔顿... ......就好像是一个愚蠢的朋友。它不会已经能够给出一个明确的三代后裔的工作场所。 / N / N风车可以解决这个东西叫做孤独状态打破了旋转轴的一部分。然而，缺乏木材需要修复它，我无法修复。你可以把这个领域的有木有？ / N / N <TC'163：21：21“文本”谷风钢厂“/>请携带各地<TC'163 :: 21 21'文本'的服务的木材”/>一个。,工作地点位于这里的东北部。 <TC'163：21：21'文本'修理工博尔顿“/>请查收。,单独看它被卡住。我太漂亮！,博尔顿和对话。,1105,0,42,0,0,0,1,4031,0,1,4033,0,0,0,0,1|3,42,99,0,0,0,0,0,0,0,13151,113151,0
13152,1,QUT_Title_000621,QUT_Main_000621,QUT_Progress_000621,QUT_Finish_000621,QUT_Mini_000621,被狼袭击,但是由于减少的攻击，而不是死亡的攻击静音降低。 / N / N现在开始来攻击周围的头部，而不是零星袭击。如果你不杀首席指挥攻击，攻击就不会结束。 / N / N的罗得岛的名称静音头<TC'163：21：21'文本'狠'伊泽尔车“/> A.请杀了人，,<TC'163：21：21'文本'小死亡静音“/>和<TC'163：21：21”文本“山中的死亡静音”/>请杀死。,这可能是出了一点，从攻击的威胁，谢谢。谢谢。,哦，并在会话初,1105,0,42,0,0,0,1,4032,0,1,4032,0,0,0,13157,1|3,42,99,0,0,0,0,0,0,0,13152|13153,113152,0
13153,1,QUT_Title_000622,QUT_Main_000622,QUT_Progress_000622,QUT_Finish_000622,QUT_Mini_000622,我需要一个工具,死亡是个哑巴烧烤味道最好的！我期待着其他菜。 Euheuheu ... / N / N是一个烧烤制作galbitsal死亡静音这么好吃。死亡是巨大的静音更多的好味道我写的这本书。你会guhaeda的galbitsal'll奖励是足够haedeuril / N / N静音，在不久的最伟大的死亡？<TC'163：21：21'文本'狠'伊泽尔车“/> A.杀了人，然后<TC'163：21：21'文本'死亡galbitsal静音“/>请把你的。,请看看周围的<博尔顿'/文本TC'163 :: 21 21''工具>。,你发现！现在，您可以修复的风车。,博尔顿和对话。,1105,0,42,0,0,0,1,4033,0,1,4033,0,0,13151,13154,1|3,42,99,0,0,0,0,0,0,0,13154,113153,0
13154,1,QUT_Title_000623,QUT_Main_000623,QUT_Progress_000623,QUT_Finish_000623,QUT_Mini_000623,回到磨机,风车是能够修复完成细化晶粒。 / N / N想现在等待钢铁ohgiman呼吸援助。支持山里面去，但需要相当长的时间。你能告诉代表食物，以便它可以帮助人/ N / N <TC'163：21：21“文本”交通装修美分'/> S键<TC'163：21：21“？文本”面粉袋请把你的'/>。,<TC'163：21：21“文本”谷风钢厂“/>在<TC'163：21：21”文本“修复工具”/>请大家。,基希贝格得到修复工具。哪里是博尔顿？,谈话汉克。,1105,0,42,0,0,0,1,4033,0,1,4031,0,0,13153,0,1|3,42,99,0,0,20926,1,0,0,0,13155,113154,0
13155,1,QUT_Title_000624,QUT_Main_000624,QUT_Progress_000624,QUT_Finish_000624,QUT_Mini_000624,这道菜的烤香味,而在进入山区前休息运输阶段，我们得到了伏击。 / N / N我离开，其中有意想不到的防空洞也只包括交通本本的行李。这不会导致在未来的唯一运输业务的许多问题。我知道它的未来看到一个牧师，你能帮助我吗？ / N / N swideon马车那里的入口位于中山区。其中，<TC'163：21：21'的书“文字”的领导者/>请携带。,<TC'163：21：21'文本'的风车之谷“/>围绕<TC'163：21：21'文本'小死亡静音”/>和<TC'163：21：21'文本'山死亡静音“/>和治疗<TC'163：21：21'文本'死亡静音肉”/>请得到。,我以为吃了令人垂涎的美食了。哈哈哈到来！,谈话诺伯特。,1105,0,42,0,0,0,1,4034,0,1,4034,0,0,0,13158,1|3,42,99,0,0,0,0,0,0,0,13156,113155|401083|401084,13156|13157
13156,1,QUT_Title_000625,QUT_Main_000625,QUT_Progress_000625,QUT_Finish_000625,QUT_Mini_000625,风车修复材料,护送人员在运输阶段的头。正如你可以看到现在的情况不是很好这里。 / N / N运输只参加了护航，只是因为有至少两天就收到了进攻的队伍。所以我keot损害时，受到袭击。所以，你能帮助我在这里，现在要维护工人bujokhande？ / N / N减少的头号敌人对象。为了您的安全，基督城请郊区<TC'163 :: 21 21“文本”山蚂蚁雄兵“/>一个。,<TC'163：21：21“文本”谷风钢厂“/>围绕<TC'163：21：21'文本'的服务的木材”/>请携带。,这将足以修复风车。,谈话汉克。,1105,0,42,0,0,0,1,4031,0,1,4031,0,0,13154,0,1|3,42,99,0,0,0,0,0,0,0,13157,113156,0
13157,1,QUT_Title_000626,QUT_Main_000626,QUT_Progress_000626,QUT_Finish_000626,QUT_Mini_000626,建立在鱼龙混杂,德副突袭后，谁说话也不会上山反对派说是自杀。 / N / N最终去到山上去峡谷的人喜欢自己和平均。但危险的长，因为很快就可以恢复到钢厂。但我知道你没有看到他们在钢厂无疑会发生什么事。,<TC'163：21：21'文本'狠'伊泽尔车“/>是强大的。要小心。,我期待赢得时间，谢谢。谢谢。,哦，在谈话中早期。,1105,0,42,0,0,0,1,4032,0,1,4032,0,0,13152,0,1|3,42,99,0,0,0,0,0,0,0,13158,113157,0
13158,1,QUT_Title_000627,QUT_Main_000627,QUT_Progress_000627,QUT_Finish_000627,QUT_Mini_000627,美味的烧烤,它来自球探坏报告。 / N / N看起来我们在血淋淋的斧头驻军占领了汤普森农场战斗byeoldongdae敌人。 / N / N汤普森农场是一个存在于被遗忘的土地的粮食生产区域而已。所以，只要你重拾汤普森农场。 / N / N首页<TC'163：21：21“文本”村东边的空地“/>在<TC'163：21：21”文本“血腥斧头包包”/>侦察和<TC'163：21：21 “文本”侦察兵“/>请进球。,<TC'163：21：21'文本'狠'伊泽尔车“/>杀死后<TC'163：21：21'文本'死亡galbitsal静音”/>请把你的。,你可以吃美味的食物，谢谢。谢谢大家！,谈话诺伯特。,1105,0,42,0,0,0,1,4034,0,1,4034,0,0,13155,0,1|3,42,99,0,0,0,0,0,0,0,13159,113158,13159
13159,1,QUT_Title_000628,QUT_Main_000628,QUT_Progress_000628,QUT_Finish_000628,QUT_Mini_000628,面粉交付,Eopeuni私刑清楚这是否会回来，清理现有的人员情况，必须夺回汤普森农场。 / N / N导体这一使命的优先权和<TC'163：21：21“文本”血拉斯'/>和<TC'163：21：21“文本”大运“/>堂，让敌人动摇。,<TC'163：21：21“文本”交通装修美分“/> s到<TC'163：21：21”文本“面粉袋”/>请携带。,这个官员的增长是缺乏人手这里的......很高兴见到你。,谈话美分。,1105,0,42,0,0,0,1,4031,0,1,4041,0,0,13156,0,1|3,42,99,0,0,20930,1,0,0,0,13160,113159,0
13201,1,QUT_Title_000629,QUT_Main_000629,QUT_Progress_000629,QUT_Finish_000629,QUT_Mini_000629,董事图书,被盗后，农场粮食形势越来越城里差。这种状况阻碍了治安维持运转的战斗蔓延可能saenggilji。 / N / N要求用品，可立即使用，以按计划进行，治安维持会的传播。 / N / N剥夺我们会再次找到我们供应的敌人。敌人<TC'163：21：21'文本'触角'/>和<TC'163：21：21“文本”侦察兵“/>教会及其<TC'163：21：21'文本'赃物' />请恢复。,在山门口<TC'163：21：21'的书“文字”的领导者/>请携带。,感谢您参加都把找到这本书了。,谈话美分。,1105,0,42,0,0,0,1,4041,0,1,4041,0,0,0,0,1|3,42,99,0,0,0,0,0,0,0,13201,113201,0
13202,1,QUT_Title_000630,QUT_Main_000630,QUT_Progress_000630,QUT_Finish_000630,QUT_Mini_000630,请停止袭击,即使是敌人突然袭击的大多数农民都难逃活着，感谢馅农场看守的费用保持在农场，直到最后一分钟。 / N / N他们祂所的一切义务。所以we'm daharyeo我们义不容辞的责任。 / N / N <TC'163：21：21“文本”汤普森的农场“/>在调查的<TC'163 :: 21 21'文本'看守'/及其<TC的尸体>”163：21： 21'文本'信物'/> there.Aye恢复。,为了您的安全，基督城请郊区<TC'163 :: 21 21“文本”山蚂蚁雄兵“/>一个。,由于保卫getgunyo没有变得更容易。谢谢。,在正面与对话。,1105,0,42,0,0,0,1,4043,0,1,4043,0,0,542,13207,1|3,42,99,0,0,0,0,0,0,0,13202,113202,0
13203,1,QUT_Title_000631,QUT_Main_000631,QUT_Progress_000631,QUT_Finish_000631,QUT_Mini_000631,副下落,汤普森农场的恢复下降时间geolrineunde hagun尴尬足够的食物吃的权利做了村里的人。 / N / N度涛玉米在玉米地占领了，如果你只是有这个能力？ / N / N，但我知道这是不是一种恩惠的人喜欢你，你必须给了解情况紧迫。 / N / N为村民<TC'163：21：21“文本”汤普森麦田农场“/>在<TC'163：21：21'文本'玉米'/> there.Aye收集。,在高山峡谷中这里的东北部。 <TC'163：21：21“文本”德告诉党组副“/>请查收。,呵呵......不来的怪胎！,浏览德说的下落。,1105,0,42,0,0,0,1,4041,0,1,4044,0,0,13201,0,1|3,42,99,0,0,0,0,0,0,0,13203,113203,0
13204,1,QUT_Title_000632,QUT_Main_000632,QUT_Progress_000632,QUT_Finish_000632,QUT_Mini_000632,确保安全,为了满足粮食需求在村里，你会收集直接堆放在农场内食品盒。 / N / N <TC'163：21：21“文本”汤普森的农场里“/>堆在<TC”21：21''在<TC / 163 163：21 21“文本”食品盒>“文本“食物”/>提出收回。,围绕<TC'163：21：21“文本”饿了山飞龙“/>所有jukyeojwo请！,（无声音从马车。）,与德锅炉的对话。,1105,0,42,0,0,0,1,4044,0,1,4044,0,0,13203,13205,1|3,42,99,0,0,0,0,0,0,0,13204,113204,0
13205,1,QUT_Title_000633,QUT_Main_000633,QUT_Progress_000633,QUT_Finish_000633,QUT_Mini_000633,最后一个出场,$的GetName（）写了治安维持称谢拖的时间才得以返回。现在，治安维持和返回需要重新共享的作用。 / N / N夺回农场是一个大型的战斗似乎是私刑会更好负责。所以$的GetName（）看了<TC'163：21：21“文本”村西边的空地“/>中存在<TC'163：21：21”文本“血腥斧头包杀手”/>请，基督城。,（这似乎已经损坏车辆和血。）,他们都死了...你...哦，我的上帝......,谈话美分。,1105,0,42,0,0,0,1,4044,0,1,4041,0,0,13204,0,1|3,42,99,0,0,0,0,0,0,0,13205,113205,0
13206,1,QUT_Title_000634,QUT_Main_000634,QUT_Progress_000634,QUT_Finish_000634,QUT_Mini_000634,要泽西品种,我想谈一谈关于派遣维尔娜的牧师在光明寺的现状和寻求建议。 / N / N我的名声，而不是说话$的GetName（）更jotgetjyo谁写的故事。 / N / N <TC'163：21：21'文本'村'/>这是在<TC'163：21：21“文本”贝尔纳“/>认识神父的。,<TC'163：21：21“文本”山蚁窝“/>在<TC'163：21：21”文本“山工蚁族”/>请杀死。,工蚁就可以争取到更多的时间减少。,谈话美分。,1105,0,42,0,0,0,1,4041,0,1,4041,0,0,13202,13208,1|3,42,99,0,0,0,0,0,0,0,13206,113206,0
13207,1,QUT_Title_000635,QUT_Main_000635,QUT_Progress_000635,QUT_Finish_000635,QUT_Mini_000635,防止舱盖,这意味着我们将不必再隐藏了。 Jangyisin警戒<TC'163：21：21“文本”roselrin位“/>告诉我们应对混乱的存在。,<TC'163：21：21“文本”山蚁窝“/>在<TC'163：21：21”文本“山蚂蚁蛋”/>请买的时候给毁了。 <TC'163：21：21“文本”每桶原油炸药“/>使用<TC'163：21：21”文本“山蚁窝”/>请破坏。,这使我赚了一点时间。,在正面与对话。,1105,0,42,0,0,0,1,4043,0,1,4043,0,0,542,13209,1|3,42,99,0,0,0,0,0,0,0,13207,113207,0
13208,1,QUT_Title_000636,QUT_Main_000636,QUT_Progress_000636,QUT_Finish_000636,QUT_Mini_000636,孳生源的破坏,Yisigunyo合理的警戒章。但是，我们也不会优先于人类始终是一个合理的决定。 / N / N我得想办法找一个倒下的人。所有可疑要求帮助的居民，因为它再次进入请求之前，现在需要。 / N / N进行调查<TC'163：21：21“文本”拆迁杀手“/>杀害出现<TC'163：21：21”文本“虚空之灵”/>从<TC“163： 21:21“文本”虚空的恶性心灵“/>请收藏。,<TC'163：21：21“文本”山蚁窝“/>中的<TC'163：21：21”文本“皇后文章克雷塔罗”/>要小心，你有一个强大的力量。,Yijeongdo如果蚂蚁也将难以培育一段时间。,谈话美分。,1105,0,42,0,0,0,1,4041,0,1,4041,0,0,13202,0,1|3,42,99,0,0,20933,1,0,0,0,13208,113208,0
13209,1,QUT_Title_000637,QUT_Main_000637,QUT_Progress_000637,QUT_Finish_000637,QUT_Mini_000637,杀死女王,嗯......这是很难比我想象。在我的能力在某种程度上似乎很难分辨倒下村民。 / N / N eopeuni是没有办法现实，否则堕落的字符来区分谁就会去努力治疗存在的发现，村民下降。 / N / n不能处理所有的单独工作，我们将收集那些谁也不敢相信eopeuni一个优先事项。 / N / N <TC'163：21：21'文本'山镇南天“/>在<TC'163：21：21”文本“的藏身之处打着”/>请尽量收集那些可以信任。,<TC'163：21：21“文本”山营商“/>在<TC'163：21：21”文本“支行行长德怀特 - ”/>请前应对这里的情况。,现在，更多的蚂蚁会不会增加。谢谢。,在正面与对话。,1105,0,42,0,0,0,1,4043,0,1,4043,0,0,13207,0,1|3,42,99,0,0,0,0,0,0,0,13209,113209|400365|400366|400367|400368|400442,0
13210,1,QUT_Title_000638,QUT_Main_000638,QUT_Progress_000638,QUT_Finish_000638,QUT_Mini_000638,交通运输只有通过情况,拉尼更多的部队hat'll需要安装一个障碍。 / N / N <TC'163：21：21“文本”AVE高考“/>中，请用<TC'163 :: 21 21”文本“屏障安装工具”/>一个。,<TC'163：21：21“文本”系列的其他光神父“/>的讨好通过<黑暗TC'163 :: 21 21”文本“魔术座椅”/>。,它会得到攻击运输迟来的阶段。好吧。,在谈话中德怀特。,1105,0,42,0,0,0,1,4041,0,1,4051,0,0,13209,0,1|3,42,99,0,0,0,0,0,0,0,13210,113210,0
13211,1,QUT_Title_000639,QUT_Main_000639,QUT_Progress_000639,QUT_Finish_000639,QUT_Mini_000639,马力调查委托席,援助黑暗周围我存在的存在必须确保临时区域的安全性。 / N / N <TC'163：21：21“文本”AVE围绕“/>中存在<TC'163：21：21”文本“混沌武士”/>和<TC'163：21：21'文本“恐怖故事”/>请杀死。,<TC'163：21：21“文本”的决定采石场火焰“/>在<TC'163：21：21”文本“的决定中火”/>请携带。,米娅要求调查一个安静的四座马力？好吧。一旦完成，我们通知。,其他谈话的Siri。,1105,0,42,0,0,0,1,4042,0,1,4053,0,0,13206,0,1|3,42,99,0,0,20935,1,0,0,0,13211,113211,0
13251,1,QUT_Title_000640,QUT_Main_000640,QUT_Progress_000640,QUT_Finish_000640,QUT_Mini_000640,交货方式,侦察员据报道，已经找到了指挥官的骑士指挥官。 / N / N的脾气在黑暗的存在经常出现。因此，我认为会有援助，如果文章中没有区分敌方指挥官指挥官和盟友必须看到它们之间的战斗场面。 / N / N <TC'163：21：21“文本”大街北兵营“/>在<TC'163：21：21”文本的布里奇特骑士指挥官“/>请进球。,<TC'163：21：21“文本”火焰决定采石场“/>的<TC'163：21：21”文本“山贼蚂蚁”/>和<TC'163：21：21“文本”山武士蚁请杀“/>。,它决定写，直到猎物能恢复感谢放心。谢谢。,在谈话中德怀特。,1105,0,42,0,0,0,1,4051,0,1,4051,0,0,0,0,1|3,42,99,0,0,0,0,0,0,0,13251,113251,0
13252,1,QUT_Title_000641,QUT_Main_000641,QUT_Progress_000641,QUT_Finish_000641,QUT_Mini_000641,采石场蚂蚁,我想要的一切，你可以保持集合点。 / N / N <TC'163：21：21“文本”召唤石魔“/>的<TC'163：21：21”文本“AVE空地”/>请使用。,<TC'163：21：21“文本”可见下颌湾里格斯'/>将强劲像一个首领。要小心。,这是一个伟大2天将是一个艰巨的eopeusi伤口出席。,珀迪和布兰森和对话。,1105,0,42,0,0,0,1,4052,0,1,4052,0,0,0,0,1|3,42,99,0,0,0,0,0,0,0,13252|13253,113252,0
13253,1,QUT_Title_000642,QUT_Main_000642,QUT_Progress_000642,QUT_Finish_000642,QUT_Mini_000642,损坏的主要原因,这两天发生在黑月亮废墟似乎发生在这个地方。不像在其他点黑月亮遗迹如果程度会有一定的成功。 / N / N以确定确切的情况<TC'163：21：21“文本”大街北兵营“/>在<TC'163：21：21”的文件，拆迁文字“框”/>讨好调查。,<TC'163：21：21“文本”的决定火焰口袋“/>的<TC'163：21：光21'文'系列的其他神父”/>请走神。,Getgunyo没有变得更容易，谢谢。,在谈话中德怀特。,1105,0,42,0,0,0,1,4051,0,1,4051,0,0,551,13255,1|3,42,99,0,0,0,0,0,0,0,13254,113253,0
13254,1,QUT_Title_000643,QUT_Main_000643,QUT_Progress_000643,QUT_Finish_000643,QUT_Mini_000643,实验测定交付,维度也许这边界划分jimyeo死老板似乎已经陷入了中土世界。 / N / N为精确的态势感知<TC'163：21：21“文本”北兵营“/>在<TC'163：21：21”文本“骷髅战士”/>杀死和<TC“163： 21:21“文本”的士兵邪念“/>请获得的。,<TC'163：21：21“文本”的决定采石场火焰“/>在<TC'163：21：21”文本“采矿炸药”/>请使用轰炸gaemigul。,基希贝格具有阻燃决定！我们告诉实验结束。,其他谈话的Siri。,1105,0,42,0,0,0,1,4051,0,1,4053,0,0,13253,0,1|3,42,99,0,0,20937,1,0,0,0,13255,113254,0
13255,1,QUT_Title_000644,QUT_Main_000644,QUT_Progress_000644,QUT_Finish_000644,QUT_Mini_000644,Gaemigul拆除,为了获得死者主间隙尺寸要求的死这样的精神。 / N / N在<TC'163：21 21'文/“AVE围绕”> <TC'163：21：21“文本”混沌武士“/>和<TC'163：21：21”文本“文章恐惧“/>治疗<TC'163：21：21”后的文本“请收集younghonseok”/>统帅的文章。,<TC'163：21：21“文本”厚颌十字尼克斯'/>请杀死。,感谢他们的辛勤蚂蚁会积极地移动。,在谈话中德怀特。,1105,0,42,0,0,0,1,4051,0,1,4051,0,0,13253,13257,1|3,42,99,0,0,20938,1,0,0,0,13256,113255,0
13256,1,QUT_Title_000645,QUT_Main_000645,QUT_Progress_000645,QUT_Finish_000645,QUT_Mini_000645,Gaemigul保护,双方的初衷是出现在你需要才能召唤死者师傅到我们想要的地方。 / N / N <TC'163：21：21'文本'佩纳屋村“/>在<TC'163：21：21'文本'骷髅弓箭手'/>处理后<TC'163：21： 21'文字'请收集死者的younghonseok“/>。,<TC'163：21：21“文本”飞龙巢“/>在<TC'163：21：21'文本'山飞龙”/>进行评分<TC'163：21：21“文本”飞龙皮革请把你的'/>。,现在，主要是处理增援部队将恢复采石场，如果开启。,珀迪和布兰森和对话。,1105,0,42,0,0,0,1,4052,0,1,4052,0,0,13253,13259,1|3,42,99,0,0,0,0,0,0,0,13257,113256,0
